"","avg_pop","max_pop","min_pop","med_pop","n","id"
"605",61.6153846153846,75,49,62,13,543
"606",56.65,83,3,58,20,1530
"607",50.35,71,1,55,20,1528
"608",21.7857142857143,43,11,17,14,1607
"609",27.625,32,24,27,8,1667
"610",16.4545454545455,33,9,16,11,1366
"611",9,15,6,8.5,10,1363
"612",16,26,11,15,11,2075
"613",22.8,36,13,22,10,380
"614",29.25,47,19,27,12,1207
"615",38.4666666666667,51,30,36,15,1289
"616",23.3333333333333,34,16,21,9,1503
"617",10.1,26,6,8.5,10,1404
"618",44.7272727272727,57,37,46,11,200
"619",27.5,36,21,26,14,558
"620",31.3846153846154,37,27,31,13,1776
"621",19.1111111111111,43,11,16,9,334
"622",4.16666666666667,9,1,3,6,177
"623",12.5,27,9,11,10,1701
"624",54.2307692307692,65,47,54,13,2050
"625",42.5,48,37,42.5,12,1774
"626",30.3636363636364,43,23,29,11,1143
"627",40.7142857142857,51,34,39,14,2188
"628",24.0833333333333,43,12,21,12,363
"629",14.4,25,9,12,10,850
"630",13.9,27,6,13.5,10,311
"631",28.4285714285714,39,20,28,14,2003
"632",26.6153846153846,48,19,23,13,45
"633",24.3636363636364,36,17,24,11,740
"634",23.8333333333333,33,18,24,12,2101
"635",53.3,59,47,54,10,553
"636",21.1818181818182,45,10,20,11,348
"637",22.9090909090909,37,1,21,11,1359
"638",29,44,22,27,13,1985
"639",37.2,47,31,37.5,10,98
"640",40.2727272727273,57,34,40,11,2040
"641",15.4,26,9,14,10,1713
"642",28.9,39,19,28,10,768
"643",54.1,73,43,50,10,713
"644",49.4545454545455,66,41,50,11,1662
"645",4.36363636363636,16,2,3,11,827
"646",10.4545454545455,21,4,9,11,771
"647",5.8,12,2,5,10,327
"648",6.41666666666667,27,1,3,12,463
"649",28.5833333333333,44,20,27.5,12,1376
"650",16,19,13,16,4,734
"651",28.1538461538462,39,0,27,13,954
"652",3.09090909090909,17,1,1,11,148
"653",2.31578947368421,11,0,1,19,1450
"654",7.91666666666667,27,2,5,12,1807
"655",2.1,5,1,1.5,10,1038
"656",52.1538461538462,64,44,52,13,1876
"657",46.8461538461538,59,39,46,13,1083
"658",21,48,11,15.5,10,813
"659",43.2,56,35,42.5,10,308
"660",54.9090909090909,60,51,54,11,2084
"661",17.0769230769231,32,11,15,13,520
"662",51.2222222222222,63,42,52,9,585
"663",34.75,37,31,35.5,4,2082
"664",13.7,24,8,12.5,10,227
"665",8.18181818181818,18,4,7,11,1501
"666",40.5333333333333,59,32,37,15,1110
"667",38.1666666666667,49,30,36.5,12,724
"668",26.375,42,17,24.5,16,722
"669",36.1111111111111,49,30,35,9,1582
"670",25,39,16,22,10,1747
"671",21.75,35,15,20,12,2204
"672",38.8235294117647,66,0,39,17,2179
"673",53.1,63,46,53,10,341
"674",59.7857142857143,69,52,59,14,1982
"675",33.9473684210526,48,1,35,19,1935
"676",48.6923076923077,59,40,48,13,2235
"677",19.8235294117647,29,0,19,17,1998
"678",30.25,51,23,29,20,749
"679",37.3,50,25,38.5,10,1888
"680",36.3571428571429,56,25,34.5,14,831
"681",36.3571428571429,56,25,34.5,14,874
"682",49.5454545454545,62,43,49,11,2212
"683",24.8,32,16,25,5,994
"684",32.8181818181818,44,26,34,11,597
"685",30.3636363636364,40,23,30,11,1133
"686",42,54,36,40,10,1972
"687",50.4444444444444,58,44,51,9,1855
"688",23.1111111111111,31,18,21,9,1557
