"avg_pop","max_pop","min_pop","med_pop","n","id"
11.4545454545455,18,6,10,11,"suuns2018felelt"
29.2727272727273,44,20,29,11,"wildnothing2018indigo"
32.15,80,22,28,20,"nickiminaj2018queeen"
24,38,16,22.5,12,"johnmaus2018adddum"
17.1,36,8,13,10,"thexcerts2018holart"
20.25,46,12,19,12,"middlekids2018losnds"
59.2727272727273,81,51,56,11,"panicatthedisco2018praked"
13.8333333333333,27,9,11,12,"thegoteam2018semcle"
37.1,49,31,35.5,10,"kikagakumoyo2018masles"
40.5,48,33,39.5,10,"deathcabforcutie2018thaday"
56.7,78,44,51,20,"migos2018culeii"
5.66666666666667,21,2,3,12,"cullenomori2018theiet"
21.3571428571429,40,15,19.5,14,"porches2018theuse"
43.3846153846154,58,34,39,13,"carrieunderwood2018crytty"
5.23076923076923,12,0,4,13,"yokoono2018warone"
34.6363636363636,48,27,31,11,"thedecemberists2018illirl"
13.1,26,6,13,10,"deathvalleygirls2018darins"
32.25,42,26,31,12,"brianfallon2018sleers"
20.5,37,14,18,6,"ofmontreal2018whiood"
38.4615384615385,49,33,37,13,"deathgrips2018yeatch"
8.625,12,5,8.5,8,"melvins2018pinian"
34.2,39,31,34,15,"justice2018womide"
20.1666666666667,41,12,17,12,"markkozelek2018marlek"
37.7857142857143,51,27,37.5,14,"mø2018forand"
13.8,27,9,14,10,"cursive2018vitola"
25.6923076923077,58,17,22,13,"twinshadow2018caeaer"
26.5,51,18,22.5,10,"glenhansard2018betres"
27.5,41,17,26,10,"bonnydoon2018lonave"
43.8333333333333,51,37,43.5,12,"aperfectcircle2018eatant"
2.09090909090909,8,1,1,11,"arthurbuck2018artuck"
13.7777777777778,31,7,14,9,"joshrouse2018lovage"
2.9,4,2,3,10,"deanwareham2018deabre"
16.75,31,11,14.5,12,"aplacetoburystrangers2018pinned"
11.8,24,6,9.5,10,"moaning2018moaing"
36.6,55,25,36,10,"scarey2018hunres"
10,26,5,7.5,10,"okkervilriver2018intain"
